id;start_date;end_date;language
1;2025-08-29T12:16:15;2025-08-30T07:02:39;ENGLISH
2;2025-08-29T10:15:06;2025-08-30T01:24:16;FRENCH
3;2025-08-29T23:03:24;2025-08-29T13:15:37;SPANISH
4;2025-08-29T23:22:52;2025-08-30T05:08:39;ENGLISH
5;2025-08-29T15:08:28;2025-08-29T12:46:16;SPANISH
6;2025-08-29T16:54:49;2025-08-29T12:27:33;ENGLISH
7;2025-08-29T20:03:57;2025-08-30T05:20:32;SPANISH
8;2025-08-29T21:46:07;2025-08-30T05:59:06;SPANISH
9;2025-08-29T09:58:18;2025-08-30T03:24:54;SPANISH
10;2025-08-29T16:39:11;2025-08-30T09:05:59;ENGLISH
