id;street_address;postal_code;city;state_province
1;aw naturally;sardonic vestment;Jersey City;round
2;swear;ick once;Farrellborough;elastic restfully out
3;pile wholly considering;cap awful sleepily;Port Benedict;realistic ignorant
4;across awkwardly;fooey;Kelleyport;shakily impact nor
5;butter;apropos;Atlanta;pointless as unfreeze
6;wide-eyed;hastily accountability;Joseview;honesty fairly sushi
7;between compete pro;gah premise;Handport;er
8;boohoo gladly across;dreamily eek;Russelbury;dim casement
9;blend from;shoulder utterly;Rockford;incidentally lighthearted
10;famously shameful;essence;North Orionfield;sorrowful forenenst
